map,t1_avg_elo,t1_elo_std,t1_min_elo,t1_max_elo,t1_avg_kd,t1_avg_hs_pct,t1_avg_win_rate,t1_avg_matches,t1_avg_level,t2_avg_elo,t2_elo_std,t2_min_elo,t2_max_elo,t2_avg_kd,t2_avg_hs_pct,t2_avg_win_rate,t2_avg_matches,t2_avg_level,elo_diff,kd_diff,wr_diff,team1_win,score_diff,elo_ratio,kd_ratio,experience_ratio,elo_total,elo_spread_diff,hs_diff,level_diff,t1_consistency,t2_consistency
de_inferno,2450.531328421241,261.33,2028.131328421241,2728.131328421241,1.094,44.8,51.6,3055.4,10.0,2504.731328421241,338.71,2144.131328421241,2940.131328421241,1.172,51.6,51.4,1984.8,10.0,-54.19999999999982,-0.078,0.2,0,-3.0,0.9783609525760343,0.9334470989761093,1.5393994357114067,4955.262656842482,-77.38,-6.800000000000004,0.0,0.0038119925284946445,0.0029436872626652146
de_dust2,2396.814498593158,101.69,2295.414498593158,2542.414498593158,1.176,45.8,52.0,1902.6,10.0,2334.814498593158,111.61,2192.414498593158,2484.414498593158,1.148,49.2,52.0,2275.0,10.0,62.0,0.028,0.0,0,-3.0,1.0265545721244056,1.024390243902439,0.8363076923076923,4731.628997186316,-9.920000000000002,-3.4000000000000057,0.0,0.009738046547862499,0.008880206020779682
de_anubis,2386.810450732043,110.15,2302.2104507320432,2578.2104507320432,1.072,50.0,50.2,4315.8,10.0,2356.0104507320434,68.77,2282.2104507320432,2444.2104507320432,1.078,46.6,51.2,2662.4,10.0,30.799999999999727,-0.006,-1.0,0,-6.0,1.0130729471044706,0.9944341372912802,1.6210186298076923,4742.820901464087,41.38000000000001,3.3999999999999986,0.0,0.00899685110211426,0.014332807797047443
de_nuke,2447.4474572446434,172.43,2204.647457244643,2619.647457244643,1.078,42.4,50.8,2940.6,10.0,2438.4474572446434,96.02,2300.647457244643,2570.647457244643,1.106,54.0,51.4,2275.0,10.0,9.0,-0.028,-0.6,1,4.0,1.0036908730484477,0.9746835443037974,1.2925714285714285,4885.894914489287,76.41000000000001,-11.600000000000001,0.0,0.00576601510695958,0.010307153164296022
de_inferno,2216.387081546549,308.94,1758.187081546549,2622.187081546549,1.13,53.4,52.6,2029.4,9.8,2213.787081546549,137.4,2081.187081546549,2409.187081546549,1.09,49.0,51.6,2181.0,10.0,2.599999999999909,0.04,1.0,1,4.0,1.0011744580233901,1.0366972477064218,0.9304906006419075,4430.174163093097,171.54,4.399999999999999,-0.1999999999999993,0.0032264309221139574,0.0072254335260115606
de_ancient,2329.9067388216936,151.45,2186.1067388216934,2502.1067388216934,1.184,44.8,51.4,2073.4,10.0,2286.5067388216935,253.62,2065.1067388216934,2723.1067388216934,1.096,46.6,50.6,2735.2,10.0,43.40000000000009,0.088,0.8,1,2.0,1.0189809193487729,1.0802919708029195,0.7580432875109682,4616.4134776433875,-102.17000000000002,-1.8000000000000043,0.0,0.006559527714004592,0.003927421255203833
de_mirage,2420.0176034608908,176.78,2129.817603460891,2589.817603460891,1.086,50.0,50.8,2462.2,10.0,2352.217603460891,104.09,2252.817603460891,2525.817603460891,1.164,45.4,51.6,3993.2,10.0,67.79999999999973,-0.078,-0.8,1,3.0,1.0288238638722214,0.9329896907216496,0.616598216968847,4772.235206921781,72.69,4.600000000000001,0.0,0.005624929688378895,0.009515653249595584
de_dust2,2931.0506403869604,169.72,2648.0506403869604,3062.0506403869604,1.132,49.8,52.4,5708.2,10.0,2944.25064038696,218.09,2694.0506403869604,3245.0506403869604,1.174,50.6,52.0,5567.8,10.0,-13.199999999999818,-0.042,0.4,1,7.0,0.995516686039248,0.9642248722316865,1.0252164230036998,5875.301280773921,-48.370000000000005,-0.8000000000000043,0.0,0.005857544517338332,0.004564334291843534
de_dust2,2924.761258319409,138.39,2733.161258319409,3086.161258319409,1.124,49.0,51.6,3990.4,10.0,2950.361258319409,139.58,2798.161258319409,3074.161258319409,1.116,53.2,52.6,6588.0,10.0,-25.59999999999991,0.008,-1.0,0,-6.0,0.9913230964757915,1.007168458781362,0.6057073466909533,5875.122516638818,-1.1900000000000261,-4.200000000000003,0.0,0.007174115790228855,0.0071133873950775355
de_mirage,2745.252569694222,132.43,2548.652569694222,2917.652569694222,1.154,47.8,52.6,2261.0,10.0,2722.252569694222,142.77,2548.652569694222,2897.652569694222,1.128,47.4,51.6,1842.4,10.0,23.0,0.026,1.0,1,2.0,1.0084488854032319,1.023049645390071,1.2272036474164134,5467.505139388444,-10.340000000000003,0.3999999999999986,0.0,0.007494566439331485,0.006955554009876886
