match_id,map,player_elo,player_kd,player_hs_pct,player_wr,player_matches,player_level,team_avg_elo,team_avg_kd,opp_avg_elo,opp_avg_kd,opp_avg_wr,elo_gap,kills,deaths,assists
1-21ea900f-bb12-479c-a8cf-e7c7b1acc40a,de_nuke,2032.0,1.38,52.0,55.0,472.0,10.0,2140.8,1.226,2036.0,1.112,51.2,-4.0,19.0,12.0,1.0
1-21ea900f-bb12-479c-a8cf-e7c7b1acc40a,de_nuke,2339.0,1.21,51.0,57.0,520.0,10.0,2140.8,1.226,2036.0,1.112,51.2,303.0,12.0,17.0,4.0
1-21ea900f-bb12-479c-a8cf-e7c7b1acc40a,de_nuke,2146.0,1.37,47.0,50.0,4253.0,10.0,2140.8,1.226,2036.0,1.112,51.2,110.0,22.0,15.0,6.0
1-21ea900f-bb12-479c-a8cf-e7c7b1acc40a,de_nuke,2127.0,1.1,39.0,51.0,1034.0,10.0,2140.8,1.226,2036.0,1.112,51.2,91.0,15.0,17.0,4.0
1-21ea900f-bb12-479c-a8cf-e7c7b1acc40a,de_nuke,2060.0,1.07,48.0,49.0,3375.0,10.0,2140.8,1.226,2036.0,1.112,51.2,24.0,20.0,18.0,8.0
1-2b270265-7be6-4ee9-9035-54c0183e5ce8,de_ancient,1951.0,1.1,53.0,50.0,2529.0,9.0,1995.6,1.1,1719.8,1.076,50.0,231.2,12.0,16.0,3.0
1-2b270265-7be6-4ee9-9035-54c0183e5ce8,de_ancient,1752.0,1.11,48.0,50.0,1013.0,9.0,1995.6,1.1,1719.8,1.076,50.0,32.2,17.0,14.0,8.0
1-2b270265-7be6-4ee9-9035-54c0183e5ce8,de_ancient,2169.0,1.09,46.0,54.0,5689.0,10.0,1995.6,1.1,1719.8,1.076,50.0,449.2,14.0,13.0,4.0
1-2b270265-7be6-4ee9-9035-54c0183e5ce8,de_ancient,1979.0,1.1,46.0,51.0,1441.0,9.0,1995.6,1.1,1719.8,1.076,50.0,259.2,14.0,14.0,4.0
1-2b270265-7be6-4ee9-9035-54c0183e5ce8,de_ancient,2127.0,1.1,39.0,51.0,1034.0,10.0,1995.6,1.1,1719.8,1.076,50.0,407.2,9.0,16.0,2.0
1-2b270265-7be6-4ee9-9035-54c0183e5ce8,de_ancient,2273.0,1.14,50.0,50.0,3459.0,10.0,1719.8,1.076,1995.6,1.1,51.2,277.4,15.0,13.0,4.0
1-2b270265-7be6-4ee9-9035-54c0183e5ce8,de_ancient,2150.0,1.08,52.0,51.0,1406.0,10.0,1719.8,1.076,1995.6,1.1,51.2,154.4,9.0,15.0,10.0
1-2b270265-7be6-4ee9-9035-54c0183e5ce8,de_ancient,2105.0,1.09,52.0,50.0,1603.0,10.0,1719.8,1.076,1995.6,1.1,51.2,109.4,16.0,15.0,4.0
1-2b270265-7be6-4ee9-9035-54c0183e5ce8,de_ancient,2071.0,0.98,46.0,50.0,1231.0,10.0,1719.8,1.076,1995.6,1.1,51.2,75.4,16.0,15.0,3.0
1-2b270265-7be6-4ee9-9035-54c0183e5ce8,de_ancient,0,1.09,45.0,49.0,1065.0,0,1719.8,1.076,1995.6,1.1,51.2,-1995.6,16.0,10.0,1.0
1-06fb5c19-9a50-488e-9c47-65e375025595,de_inferno,2357.0,1.05,47.0,51.0,1407.0,10.0,2138.2,1.096,2183.4,1.1,50.4,173.6,8.0,15.0,4.0
1-06fb5c19-9a50-488e-9c47-65e375025595,de_inferno,1920.0,1.23,54.0,51.0,1029.0,9.0,2138.2,1.096,2183.4,1.1,50.4,-263.4,13.0,17.0,0.0
1-06fb5c19-9a50-488e-9c47-65e375025595,de_inferno,2169.0,1.09,46.0,54.0,5689.0,10.0,2138.2,1.096,2183.4,1.1,50.4,-14.4,11.0,12.0,2.0
1-06fb5c19-9a50-488e-9c47-65e375025595,de_inferno,2101.0,1.06,52.0,50.0,2678.0,10.0,2138.2,1.096,2183.4,1.1,50.4,-82.4,10.0,14.0,4.0
1-06fb5c19-9a50-488e-9c47-65e375025595,de_inferno,2144.0,1.05,57.0,53.0,782.0,10.0,2138.2,1.096,2183.4,1.1,50.4,-39.4,6.0,10.0,4.0
1-06fb5c19-9a50-488e-9c47-65e375025595,de_inferno,2072.0,1.17,45.0,51.0,3149.0,10.0,2183.4,1.1,2138.2,1.096,51.8,-66.2,17.0,10.0,4.0
1-06fb5c19-9a50-488e-9c47-65e375025595,de_inferno,2303.0,0.96,44.0,51.0,5088.0,10.0,2183.4,1.1,2138.2,1.096,51.8,164.8,12.0,12.0,4.0
1-06fb5c19-9a50-488e-9c47-65e375025595,de_inferno,2381.0,1.1,54.0,51.0,1344.0,10.0,2183.4,1.1,2138.2,1.096,51.8,242.8,15.0,9.0,4.0
1-06fb5c19-9a50-488e-9c47-65e375025595,de_inferno,2065.0,1.17,44.0,49.0,2264.0,10.0,2183.4,1.1,2138.2,1.096,51.8,-73.2,13.0,10.0,5.0
1-06fb5c19-9a50-488e-9c47-65e375025595,de_inferno,2096.0,1.1,53.0,50.0,2496.0,10.0,2183.4,1.1,2138.2,1.096,51.8,-42.2,17.0,10.0,3.0
1-d0ace3c2-cfc4-40bc-bb60-99da68e6f4a2,de_nuke,3059.0,1.2,51.0,53.0,2693.0,10.0,2836.6,1.216,2858.8,1.236,53.2,200.2,6.0,18.0,0.0
1-d0ace3c2-cfc4-40bc-bb60-99da68e6f4a2,de_nuke,2031.0,1.1,41.0,53.0,607.0,10.0,2836.6,1.216,2858.8,1.236,53.2,-827.8,13.0,17.0,5.0
1-d0ace3c2-cfc4-40bc-bb60-99da68e6f4a2,de_nuke,3067.0,1.4,50.0,57.0,763.0,10.0,2836.6,1.216,2858.8,1.236,53.2,208.2,9.0,15.0,2.0
1-d0ace3c2-cfc4-40bc-bb60-99da68e6f4a2,de_nuke,2719.0,1.24,43.0,52.0,3055.0,10.0,2836.6,1.216,2858.8,1.236,53.2,-139.8,15.0,17.0,7.0
1-d0ace3c2-cfc4-40bc-bb60-99da68e6f4a2,de_nuke,3307.0,1.14,54.0,52.0,5666.0,10.0,2836.6,1.216,2858.8,1.236,53.2,448.2,16.0,15.0,4.0
1-d0ace3c2-cfc4-40bc-bb60-99da68e6f4a2,de_nuke,2506.0,1.07,42.0,54.0,924.0,10.0,2858.8,1.236,2836.6,1.216,53.4,-330.6,17.0,13.0,5.0
1-d0ace3c2-cfc4-40bc-bb60-99da68e6f4a2,de_nuke,3113.0,1.33,53.0,55.0,1317.0,10.0,2858.8,1.236,2836.6,1.216,53.4,276.4,23.0,11.0,4.0
1-d0ace3c2-cfc4-40bc-bb60-99da68e6f4a2,de_nuke,2880.0,1.3,59.0,52.0,3558.0,10.0,2858.8,1.236,2836.6,1.216,53.4,43.4,15.0,12.0,6.0
1-d0ace3c2-cfc4-40bc-bb60-99da68e6f4a2,de_nuke,3003.0,1.37,43.0,53.0,1773.0,10.0,2858.8,1.236,2836.6,1.216,53.4,166.4,15.0,11.0,6.0
1-d0ace3c2-cfc4-40bc-bb60-99da68e6f4a2,de_nuke,2792.0,1.11,61.0,52.0,1977.0,10.0,2858.8,1.236,2836.6,1.216,53.4,-44.6,12.0,12.0,4.0
1-251b89d1-4e98-4cd4-9d6a-b1a18dabf852,de_inferno,2328.0,1.22,49.0,53.0,1201.0,10.0,2152.8,1.082,2067.0,1.05,50.4,261.0,17.0,15.0,7.0
1-251b89d1-4e98-4cd4-9d6a-b1a18dabf852,de_inferno,2068.0,1.2,50.0,52.0,788.0,10.0,2152.8,1.082,2067.0,1.05,50.4,1.0,16.0,11.0,3.0
1-251b89d1-4e98-4cd4-9d6a-b1a18dabf852,de_inferno,2170.0,1.04,48.0,50.0,8726.0,10.0,2152.8,1.082,2067.0,1.05,50.4,103.0,20.0,13.0,8.0
1-251b89d1-4e98-4cd4-9d6a-b1a18dabf852,de_inferno,2138.0,1.0,44.0,51.0,1969.0,10.0,2152.8,1.082,2067.0,1.05,50.4,71.0,14.0,13.0,6.0
1-251b89d1-4e98-4cd4-9d6a-b1a18dabf852,de_inferno,2060.0,0.95,47.0,50.0,7958.0,10.0,2152.8,1.082,2067.0,1.05,50.4,-7.0,17.0,14.0,2.0
1-251b89d1-4e98-4cd4-9d6a-b1a18dabf852,de_inferno,2031.0,1.1,41.0,53.0,607.0,10.0,2067.0,1.05,2152.8,1.082,51.2,-121.8,15.0,15.0,2.0
1-251b89d1-4e98-4cd4-9d6a-b1a18dabf852,de_inferno,2180.0,1.1,45.0,50.0,3917.0,10.0,2067.0,1.05,2152.8,1.082,51.2,27.2,13.0,16.0,1.0
1-251b89d1-4e98-4cd4-9d6a-b1a18dabf852,de_inferno,2225.0,1.01,45.0,50.0,2408.0,10.0,2067.0,1.05,2152.8,1.082,51.2,72.2,7.0,17.0,10.0
1-251b89d1-4e98-4cd4-9d6a-b1a18dabf852,de_inferno,2044.0,1.01,38.0,50.0,4245.0,10.0,2067.0,1.05,2152.8,1.082,51.2,-108.8,12.0,19.0,2.0
1-251b89d1-4e98-4cd4-9d6a-b1a18dabf852,de_inferno,1855.0,1.03,47.0,49.0,2858.0,9.0,2067.0,1.05,2152.8,1.082,51.2,-297.8,16.0,18.0,4.0
1-a97e1722-9d33-4e29-9062-e9e90f9ae82f,de_anubis,2677.0,1.21,46.0,52.0,2383.0,10.0,2586.8,1.15,2657.0,1.134,51.6,20.0,22.0,12.0,8.0
1-a97e1722-9d33-4e29-9062-e9e90f9ae82f,de_anubis,2875.0,1.26,58.0,52.0,2816.0,10.0,2586.8,1.15,2657.0,1.134,51.6,218.0,23.0,17.0,1.0
1-a97e1722-9d33-4e29-9062-e9e90f9ae82f,de_anubis,2133.0,1.09,42.0,54.0,458.0,10.0,2586.8,1.15,2657.0,1.134,51.6,-524.0,7.0,20.0,5.0
